datetime,CT,cash,commission,total,returns,equity_curve,drawdown
1985-04-25,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-04-26,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-04-29,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-04-30,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-01,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-02,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-03,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-06,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-07,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-08,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-09,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-10,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-13,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-14,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-15,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-16,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-17,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-20,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-21,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-22,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-23,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-24,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-28,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
