datetime,ZN,cash,commission,total,returns,equity_curve,drawdown
2004-01-14,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2004-01-15,113054.6875,99762.18437499976,105.29999999999986,212816.87187499978,1.1308025905146217,2.128168718749946,0.025435593750017915
2004-01-16,112726.5625,99762.18437499976,105.29999999999986,212488.74687499978,-0.0015418185461946177,2.1248874687499457,0.02871684375001804
2004-01-20,112445.3125,99762.18437499976,105.29999999999986,212207.49687499978,-0.0013235995041442905,2.122074968749946,0.0315293437500177
2004-01-21,112609.375,99762.18437499976,105.29999999999986,212371.55937499978,0.0007731230159915281,2.1237155937499463,0.029888718750017418
2004-01-22,113187.5,99762.18437499976,105.29999999999986,212949.68437499978,0.002722233625356507,2.1294968437499464,0.024107468750017347
2004-01-23,112414.0625,99762.18437499976,105.29999999999986,212176.24687499978,-0.003632019940625897,2.121762468749947,0.031841843750016974
2004-01-26,111937.5,99762.18437499976,105.29999999999986,211699.68437499978,-0.002246069044103516,2.1169968437499467,0.03660746875001708
2004-01-27,112414.0625,99762.18437499976,105.29999999999986,212176.24687499978,0.0022511252267898296,2.121762468749947,0.031841843750016974
2004-01-28,111265.625,99762.18437499976,105.29999999999986,211027.80937499978,-0.005412658188249431,2.110278093749947,0.04332621875001674
2004-01-29,111382.8125,99762.18437499976,105.29999999999986,211144.99687499978,0.0005553178054924501,2.111449968749947,0.04215434375001692
2004-01-30,111835.9375,99762.18437499976,105.29999999999986,211598.12187499978,0.0021460371152826063,2.1159812187499467,0.037623093750017045
2004-02-02,111773.4375,99762.18437499976,105.29999999999986,211535.62187499978,-0.00029537124170186946,2.115356218749947,0.03824809375001692
2004-02-03,112226.5625,99762.18437499976,105.29999999999986,211988.74687499978,0.0021420742094575562,2.1198874687499467,0.033716843750017045
2004-02-04,112085.9375,99762.18437499976,105.29999999999986,211848.12187499978,-0.0006633606833994499,2.1184812187499467,0.0351230937500171
2004-02-05,111625.0,99762.18437499976,105.29999999999986,211387.18437499978,-0.002175792241726704,2.113871843749947,0.0397324687500169
2004-02-06,112414.0625,99762.18437499976,105.29999999999986,212176.24687499978,0.0037327830555715646,2.1217624687499463,0.03184184375001742
2004-02-09,112632.8125,99762.18437499976,105.29999999999986,212394.99687499978,0.0010309825120475846,2.1239499687499466,0.029654343750017187
2004-02-10,112359.375,99762.18437499976,105.29999999999986,212121.55937499978,-0.001287400852294729,2.1212155937499464,0.032388718750017365
2004-02-11,113109.375,99762.18437499976,105.29999999999986,212871.55937499978,0.0035357084975700115,2.1287155937499462,0.024888718750017524
2004-02-12,112914.0625,99762.18437499976,105.29999999999986,212676.24687499978,-0.0009175133614535147,2.1267624687499462,0.026841843750017524
2004-02-13,113273.4375,99762.18437499976,105.29999999999986,213035.62187499978,0.001689774976192826,2.130356218749946,0.023248093750017684
2004-02-17,113265.625,99762.18437499976,105.29999999999986,213027.80937499978,-3.6672270727455825e-05,2.130278093749946,0.023326218750017613
2004-02-18,113265.625,99762.18437499976,105.29999999999986,213027.80937499978,0.0,2.130278093749946,0.023326218750017613
2004-02-19,113304.6875,99762.18437499976,105.29999999999986,213066.87187499978,0.00018336807816132783,2.1306687187499462,0.022935593750017524
2004-02-20,112906.25,99762.18437499976,105.29999999999986,212668.43437499978,-0.001870011496830637,2.1266843437499463,0.026919968750017453
2004-02-23,113359.375,99762.18437499976,105.29999999999986,213121.55937499978,0.0021306641078713273,2.131215593749946,0.022388718750017578
2004-02-24,113515.625,99762.18437499976,105.29999999999986,213277.80937499978,0.0007331496656566294,2.132778093749946,0.020826218750017667
2004-02-25,113632.8125,99762.18437499976,105.29999999999986,213394.99687499978,0.0005494594132573472,2.133949968749946,0.019654343750017844
2004-02-26,113437.5,99762.18437499976,105.29999999999986,213199.68437499978,-0.0009152627890072207,2.131996843749946,0.021607468750017844
2004-02-27,113875.0,99762.18437499976,105.29999999999986,213637.18437499978,0.002052066827784138,2.1363718437499455,0.01723246875001827
2004-03-01,113804.6875,99762.18437499976,105.29999999999986,213566.87187499978,-0.000329121076022898,2.1356687187499457,0.017935593750018075
2004-03-02,113375.0,99762.18437499976,105.29999999999986,213137.18437499978,-0.0020119576422484853,2.1313718437499456,0.022232468750018164
2004-03-03,113304.6875,99762.18437499976,105.29999999999986,213066.87187499978,-0.00032989316343923214,2.130668718749946,0.02293559375001797
2004-03-04,113609.375,99762.18437499976,105.29999999999986,213371.55937499978,0.0014300087916940818,2.1337155937499457,0.019888718750018075
2004-03-05,115218.75,99762.18437499976,105.29999999999986,214980.93437499978,0.007542593796071584,2.1498093437499453,0.0037949687500185014
2004-03-08,0.0,99876.33749999976,106.59999999999985,99876.33749999976,-0.5354176974327337,0.9987633749999733,1.1548409374999906
2004-03-09,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-03-10,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-03-11,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-03-12,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-03-15,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-03-16,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-03-17,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
